Name,Latitude,Longitude
85° Artisan Cafe,9.324310,123.310520
Antwet Backpacker's Inn & Rooftop Bar,9.321850,123.300150
Astra Bella Apartment,9.322850,123.292450
Bigby's,9.322282,123.312108
Brain Brew,9.316446,123.307376
But First Coffee,9.306820,123.308629
Cafe Mamia,9.308158,123.308939
Carlo's Place,9.321420,123.306580
Casablanca Restaurant,9.308504,123.309496
Cha Tuk Chak,9.304137,123.308608
Charos Dormitel,9.319472,123.291176
CityMall Dumaguete,9.323721,123.298659
Coco Grande Hotel,9.315305,123.307441
Crete Cafe,9.325638,123.304766
DCCCO Main Office,9.303481,123.307404
DGTech Computer,9.308789,123.307663
Elaine's Homestay,9.323550,123.307880
Freedom Park,9.313106,123.302499
Gabby's Bistro (Bantayan/Main),9.327510,123.304520
Gabby's Bistro (Boulevard),9.307780,123.309720
Greenwich (Downtown/Perdices),9.308050,123.307780
Greenwich (Robinsons Place),9.298210,123.303120
GSIS Dumaguete,9.319850,123.301220
Heart Hotel,9.303150,123.309480
Henia Hotel,9.307520,123.306950
Hotel Dumaguete,9.324520,123.311250
Hotel Nicanor,9.309250,123.307850
Izakaya Himawari Japanese Restaurant,9.325400,123.307000
Jo's Chicken Inato (Main),9.310204,123.307954
Jollibee near Negros Oriental Provincial Hospital,9.321120,123.299410
Jollibee near NORSU,9.311575,123.304861
Jollibee near Quezon Park,9.305750,123.307420
Jollibee near Robinsons Place Mall,9.297920,123.303840
Koze Suites,9.325850,123.298720
La Essencia Cafe (Hotel Essencia),9.308953,123.305645
La Mensa Bar,9.320287,123.310262
Lighthouse Point Hotel Lobby,9.326206,123.306809
llaollao Boulevard,9.309261,123.309262
Lorenzo's Steak en Deli (Don Atilano),9.321629,123.307275
M.Y. Hotel,9.309126,123.305218
Mad Monkey Dumaguete,9.319457,123.310822
Mala King,9.308689,123.308051
Marina Spatial,9.321654,123.311517
McDonald's (Business Park/Calindagan),9.298540,123.304120
McDonald's (Downtown Perdices),9.307940,123.308010
McDonald's (North Road/Daro),9.322767,123.299257
Moriah Pension,9.318922,123.301306
Optimum Pension House,9.305450,123.303250
Plaza Maria Luisa Suites Inn,9.306480,123.308150
Pulantubig Barangay Hall,9.324327,123.292510
PVL Suites,9.314250,123.307150
Quarto Dgte,9.324873,123.308064
RM Guest House & Grand Royal Spa,9.304550,123.306450
Robinsons Place Mall Calindagan,9.298140,123.303197
Rollin' Pin,9.311897,123.307909
Sans Rival (Filinvest Mall),9.322682,123.312058
Sans Rival (Robinsons Place),9.298250,123.303050
Sans Rival Bistro (Boulevard),9.307983,123.309602
Sans Rival Cakes & Pastries (San Jose),9.308031,123.309382
Sierra Hotel,9.321588,123.308313
Silliman University Cafeteria,9.311424,123.307629
Silliman University College of Arts and Sciences,9.312048,123.306740
Silliman University College of Business Administration,9.312650,123.307210
Silliman University Library,9.313602,123.306314
Silliman University Luce Auditorium,9.313288,123.305600
Silliman University Medical Center,9.316436,123.304213
Silliman University Senior High School Building,9.314275,123.305325
Sola Guesthouse,9.325676,123.306829
Sta. Monica Beach Club,9.288250,123.301550
The Apartment 5,9.318557,123.306984
The Coffee Bean & Tea Leaf,9.319914,123.312419
The Henry Resort,9.327352,123.310255
Tres Bistro,9.317851,123.307112
Wrkpod (HQ/Downtown),9.308110,123.307700
Wrkpod (Northside),9.323620,123.299710
Yvan Cafe,9.319307,123.306838
